run_id, num_topics, log_perplexity
aeb194e9-7e7d-4747-9ebb-e3d6f868f3ad, 10, -7.899313387696005,
c2d23298-47e5-4241-9cb3-4086622f2b55, 30, -8.222576361396289,
1838233b-e3d7-4961-bde1-7f36264e2170, 50, -8.452632219538383,
e6709e29-3402-4a27-b38d-ee0821a1fbde, 75, -8.761166800280128,
2104ffc6-19e0-48c7-aebb-acb470fea8ca, 100, -9.00465955207911,
ca71f1fd-82ff-4869-9294-db93a67af313, 150, -9.444162602416672,
9ba181c0-7500-4abc-9c6d-0155fa2e86d7, 200, -9.977104155499253,
c0b7327a-9f96-43e3-a824-dba77e54179b, 250, -10.644037659425582,
